Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score,Analyst Target Price,Tip Ranks Difference
NYSE:ACN,9 Apr 2026,$252.80,3,$254.89,8,3.5,$194.00,30.31%,30.31%,$252.00,$254.89,$191.15,-1.47%,$457.84,136.00%,$494.14,154.71%,ACN,NYSE:ACN,0.402,$252.00,1.15%
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$4.91,118.37%,,,,$4.17,-15.07%,$7.41,50.92%,$7.81,59.01%,ACVA,NYSE:ACVA,-0.523,$9.12,
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$78.01,1.60%,,,,$76.82,-1.53%,$60.79,-22.07%,$94.40,21.01%,ADC,NYSE:ADC,-0.742,$84.25,-2.79%
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,,$26.92,-23.20%,,,,$28.02,4.09%,$49.10,82.40%,$56.62,110.32%,ADEA,NASDAQ:ADEA,0.025,$33.00,
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,,$347.94,-22.38%,,,,$354.17,1.79%,$423.85,21.82%,$465.28,33.72%,ADI,NASDAQ:ADI,-0.008,$386.59,-24.86%
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$1.62,-68.33%,,,,,-100.00%,-$2.00,-223.46%,-$2.00,-223.46%,ADIL,NASDAQ:ADIL,-2.000,,
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,,$196.92,42.14%,,,,$188.82,-4.11%,$192.29,-2.35%,$214.17,8.76%,ADP,NASDAQ:ADP,-0.365,$261.27,10.54%
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,,$15.73,-35.53%,,,,$15.77,0.25%,$30.87,96.24%,$51.45,227.11%,ADTN,NASDAQ:ADTN,0.562,$14.67,-14.79%
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$214.40,-62.93%,,,,$212.20,-1.03%,$374.08,74.48%,$432.73,101.83%,AEM,NYSE:AEM,-0.780,$254.00,
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$2.32,227.59%,,,,,-100.00%,-$2.00,-186.21%,-$2.00,-186.21%,AEMD,NASDAQ:AEMD,-2.000,,
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$134.39,-22.09%,,,,$137.55,2.35%,-$1.76,-101.31%,$63.25,-52.94%,AEP,NASDAQ:AEP,-0.186,$137.47,
NYSE:AER,5 Mar 2026,$119.70,1,,,,$147.24,-18.70%,,,,$144.16,-2.09%,-$6.87,-104.66%,$1.17,-99.21%,AER,NYSE:AER,-0.498,$161.67,
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.45,-6.82%,,,,$14.46,0.07%,-$52.13,-460.75%,-$26.08,-280.51%,AES,NYSE:AES,-0.276,$15.33,
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.50,14.84%,,,,$15.57,0.45%,$41.99,170.90%,$64.68,317.28%,AFYA,NASDAQ:AFYA,0.116,$17.83,-0.17%
NYSE:AG,12 Aug 2025,$7.66,3,,,,$21.16,-63.82%,,,,$20.32,-3.97%,$42.43,100.54%,$50.05,136.51%,AG,NYSE:AG,-0.565,$26.50,
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$47.83,-59.96%,,,,$46.81,-2.13%,$59.30,23.99%,$68.76,43.76%,AGI,NYSE:AGI,-0.754,$61.00,
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$165.24,8.78%,,,,$155.17,-6.09%,"-$2,597.86",-1672.17%,"-$2,618.01",-1684.37%,AGM,NYSE:AGM,-0.733,$215.33,1.70%
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$10.74,-4.00%,,,,$10.48,-2.42%,-$75.20,-800.22%,-$75.49,-802.84%,AGNC,NASDAQ:AGNC,-0.264,$11.56,-10.81%
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$83.43,20.13%,,,,$81.58,-2.22%,$15.14,-81.85%,$15.14,-81.85%,AGO,NYSE:AGO,-0.488,$105.75,-0.40%
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$13.31,-29.38%,,,,$13.97,4.96%,$27.22,104.54%,$52.93,297.65%,AGRO,NYSE:AGRO,-0.311,$12.63,-25.57%
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$12.65,8.06%,,,,$12.19,-3.64%,$21.31,68.50%,$59.57,370.91%,AHCO,NASDAQ:AHCO,-0.258,$12.88,6.13%
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.09,9.95%,,,,$75.62,-1.91%,-$97.00,-225.83%,-$29.45,-138.20%,AIG,NYSE:AIG,-0.629,$87.20,3.90%
NASDAQ:AIMD,29 Jan 2026,$2.10,3,,,,$1.61,30.69%,,,,,-100.00%,-$2.00,-224.22%,-$2.00,-224.22%,AIMD,NASDAQ:AIMD,-2.000,,
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$56.64,17.94%,,,,$57.14,0.88%,$113.03,99.55%,$155.40,174.37%,AIN,NYSE:AIN,-0.041,$56.25,18.76%
NASDAQ:AIP,5 Feb 2026,$16.04,3,$20.50,7,,$20.30,-20.98%,,,,$20.31,0.05%,$20.97,3.31%,$22.27,9.72%,AIP,NASDAQ:AIP,0.138,$20.25,1.23%
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$2.79,79.21%,,,,$2.37,-15.05%,$3.40,21.93%,$7.82,180.37%,AIRS,NASDAQ:AIRS,-0.074,$6.00,-16.67%
NYSE:AIV,4 Mar 2026,$4.19,3,,9,,$4.11,1.95%,,,,$4.16,1.22%,-$4.30,-204.73%,-$2.44,-159.41%,AIV,NYSE:AIV,0.142,$7.00,
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$224.01,-0.98%,,,,$217.12,-3.08%,$446.71,99.41%,$545.47,143.50%,AIZ,NYSE:AIZ,-0.566,$260.00,-7.88%
NASDAQ:AKAM,11 Feb 2026,$114.28,5,$103.73,9,,$90.38,14.77%,,,,$91.75,1.52%,$99.09,9.64%,$147.65,63.36%,AKAM,NASDAQ:AKAM,-0.060,$110.98,-6.53%
NYSE:AL,2 Jan 2026,$58.27,3,$66.50,5,,$65.00,-10.35%,,,,,-100.00%,-$2.00,-103.08%,-$2.00,-103.08%,AL,NYSE:AL,-2.000,,
NASDAQ:ALAB,27 Jan 2026,$140.56,1,$194.64,5,,$172.09,-18.32%,,,,$135.46,-21.29%,$170.17,-1.12%,$170.95,-0.66%,ALAB,NASDAQ:ALAB,-0.261,$204.25,-4.71%
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$80.73,0.89%,,,,$77.48,-4.03%,$128.73,59.46%,$158.41,96.22%,ALC,NYSE:ALC,-0.484,$95.31,
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,,#N/A,#N/A,,,,$0.00,#N/A,$21.24,#N/A,$26.96,#N/A,ALEX,NYSE:ALEX,-1.000,$21.00,0.00%
NASDAQ:ALGM,19 Jan 2026,$25.92,2,$39.14,8,,$37.25,-30.43%,,,,$37.72,1.26%,$46.44,24.68%,$51.33,37.81%,ALGM,NASDAQ:ALGM,-0.248,$45.83,-14.60%
NYSE:ALIT,11 Feb 2026,$3.53,3,$3.67,5,,$0.65,443.77%,,,,$0.51,-21.54%,$6.79,945.09%,$20.57,3065.31%,ALIT,NYSE:ALIT,-0.347,$2.38,54.20%
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$218.23,-16.27%,,,,$207.64,-4.85%,$425.25,94.87%,$450.56,106.46%,ALL,NYSE:ALL,-0.541,$239.43,
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$141.64,16.76%,,,,$144.07,1.72%,$269.60,90.34%,$296.70,109.47%,ALLE,NYSE:ALLE,-0.430,$175.55,
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$42.24,-1.68%,,,,$41.36,-2.08%,-$465.04,-1200.95%,-$503.01,-1290.83%,ALLY,NYSE:ALLY,-0.314,$51.59,-19.50%
NASDAQ:ALNT,4 Feb 2026,$50.47,2,,,,$70.52,-28.43%,,,,$70.00,-0.74%,$109.03,54.61%,$123.41,75.00%,ALNT,NASDAQ:ALNT,-0.407,$69.10,
NASDAQ:ALRM,11 Feb 2026,$60.94,3,$85.00,1,,$45.80,33.07%,,,,$42.06,-8.17%,$86.63,89.15%,$103.07,125.04%,ALRM,NASDAQ:ALRM,-0.370,$58.00,46.55%
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$25.26,-2.86%,,,,$25.92,2.61%,-$124.94,-594.60%,-$118.28,-568.24%,ALRS,NASDAQ:ALRS,0.052,$26.00,-1.42%
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$125.82,-22.00%,,,,$126.25,0.34%,$234.34,86.25%,$261.68,107.98%,ALSN,NYSE:ALSN,-0.526,$130.50,-24.80%
NASDAQ:ALT,23 Dec 2025,$9.35,5,$13.00,2,,$3.40,175.00%,,,,$3.21,-5.59%,$1.68,-50.68%,$1.69,-50.43%,ALT,NASDAQ:ALT,-0.513,$18.00,-27.78%
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$0.99,438.38%,,,,,-100.00%,-$2.00,-302.02%,-$2.00,-302.02%,ALTS,NASDAQ:ALTS,-2.000,,
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$3.66,136.67%,,,,$3.58,-2.19%,$2.18,-40.33%,$3.67,0.19%,ALVO,NASDAQ:ALVO,-0.425,$14.00,
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$42.01,-27.04%,,,,$43.13,2.67%,-$148.50,-453.48%,-$136.62,-425.20%,AMAL,NASDAQ:AMAL,0.068,$42.00,
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$4.11,25.04%,,,,$4.11,0.00%,$11.26,173.90%,$19.22,367.54%,AMBP,NYSE:AMBP,-0.327,$4.66,
NYSE:AMBQ,29 Jan 2026,$40.84,3,,,,$31.60,29.23%,,,,$28.53,-9.72%,$0.00,-100.00%,$0.00,-100.00%,AMBQ,NYSE:AMBQ,-0.198,$38.75,
NYSE:AMCR,15 Apr 2026,$56.53,5,$52.56,5,3.5,$40.60,29.46%,29.46%,$51.66,$56.53,$41.12,1.28%,$20.35,-49.87%,$48.98,20.63%,AMCR,NYSE:AMCR,-0.441,$51.66,1.74%
NASDAQ:AMD,28 Jan 2026,$229.36,2,$286.66,9,,$258.12,-11.14%,,,,$253.38,-1.84%,$332.89,28.97%,$365.80,41.72%,AMD,NASDAQ:AMD,0.008,$289.35,-0.93%
NYSE:AME,19 Nov 2025,$189.82,2,$220.17,2,,$230.10,-17.51%,,,,$240.87,4.68%,$369.95,60.78%,$401.67,74.56%,AME,NYSE:AME,0.161,$250.00,-11.93%
NASDAQ:AMPG,9 Feb 2026,$2.53,3,$9.00,7,,$2.08,21.54%,,,,$1.80,-13.46%,$0.48,-76.77%,$0.58,-72.14%,AMPG,NASDAQ:AMPG,-0.406,$7.00,28.57%
NASDAQ:AMPL,5 Feb 2026,$11.31,4,$15.17,4,,$6.69,69.05%,,,,$5.60,-16.29%,$8.85,32.30%,$9.74,45.60%,AMPL,NASDAQ:AMPL,-0.200,$12.50,21.36%
NYSE:AMPY,20 Mar 2026,$8.49,3,$7.25,8,3,$5.50,31.82%,31.82%,$7.25,$9.12,$5.82,5.82%,$22.29,305.31%,$113.13,1956.83%,AMPY,NYSE:AMPY,-0.218,$9.12,-20.50%
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,,$37.74,7.74%,,,,$39.85,5.59%,$39.50,4.67%,$41.52,10.02%,AMSC,NASDAQ:AMSC,0.009,$52.33,
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$33.44,37.52%,,,,$33.23,-0.63%,$9.28,-72.25%,$9.33,-72.10%,AMSF,NASDAQ:AMSF,-0.169,$40.33,
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,,$23.90,-19.08%,,,,$23.78,-0.50%,-$149.00,-723.44%,-$147.11,-715.52%,AMTB,NYSE:AMTB,-0.358,$24.50,-14.29%
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$2.33,36.74%,,,,$2.46,5.58%,$1.44,-38.34%,-$3.41,-246.33%,AMTX,NASDAQ:AMTX,0.093,$13.62,
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$41.30,109.77%,,,,$41.49,0.46%,$74.73,80.94%,$127.93,209.77%,AMWD,NASDAQ:AMWD,-0.079,$59.00,
NYSE:AMX,15 May 2025,$18.21,3,,3,,$26.28,-30.71%,,,,$27.25,3.69%,$888.25,3279.96%,"$1,830.99",6867.23%,AMX,NYSE:AMX,-0.300,$25.43,
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$91.45,29.47%,,,,$97.04,6.11%,$430.69,370.96%,$493.53,439.67%,ANF,NYSE:ANF,-0.576,$119.50,
NYSE:AON,29 Aug 2025,$347.01,2,,,,$328.08,5.77%,,,,$306.68,-6.52%,$534.03,62.77%,$606.83,84.96%,AON,NYSE:AON,-0.553,$393.11,
NYSE:AORT,11 Dec 2025,$47.98,3,$51.71,4,,$37.47,28.05%,,,,$36.69,-2.08%,$37.80,0.88%,$44.26,18.11%,AORT,NYSE:AORT,-0.609,$51.43,0.54%
NYSE:AOS,14 Jan 2026,$71.54,4,$76.86,8,,$63.37,12.89%,,,,$68.66,8.35%,$157.07,147.86%,$170.87,169.64%,AOS,NYSE:AOS,0.016,$80.40,-4.40%
NASDAQ:AOSL,5 Feb 2026,$36.47,3,$24.33,6,,$31.21,-22.04%,,,,$25.55,-18.14%,$32.87,5.31%,$55.41,77.55%,AOSL,NASDAQ:AOSL,-0.267,$22.00,10.59%
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$36.60,-22.17%,,,,$38.41,4.95%,$32.48,-11.25%,$101.22,176.55%,APA,NASDAQ:APA,-0.369,$38.25,
NYSE:APAM,25 Feb 2026,$47.32,4,$45.00,6,,$37.59,19.71%,,,,$36.32,-3.38%,$113.63,202.28%,$116.05,208.72%,APAM,NYSE:APAM,-0.637,$40.75,10.43%
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$295.21,0.37%,,,,$299.92,1.60%,$165.53,-43.93%,$186.38,-36.87%,APD,NYSE:APD,-0.023,$307.67,
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$57.80,-40.28%,,,,$60.21,4.17%,$93.46,61.70%,$105.35,82.26%,APEI,NASDAQ:APEI,0.414,$57.33,
NYSE:APH,22 Jan 2026,$121.05,1,$163.27,10,,$146.98,-17.64%,,,,$137.88,-6.19%,$209.19,42.33%,$222.69,51.51%,APH,NYSE:APH,-0.557,$168.61,-3.17%
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$3.97,-23.30%,,,,$3.73,-6.05%,$3.32,-16.50%,$4.59,15.74%,API,NASDAQ:API,-0.090,$6.05,
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$34.95,89.95%,,,,$36.47,4.35%,$0.00,-100.00%,$0.00,-100.00%,APOG,NASDAQ:APOG,-0.050,$42.00,
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$6.37,-3.55%,,,,$6.33,-0.63%,-$4.22,-166.21%,-$1.61,-125.29%,AQN,NYSE:AQN,-0.443,$6.75,
NYSE:AR,20 Aug 2025,$31.31,3,,,,$36.34,-13.85%,,,,$37.20,2.37%,$54.64,50.35%,$79.16,117.84%,AR,NYSE:AR,-0.540,$48.43,
NASDAQ:ARAI,10 Feb 2026,$3.71,3,,,,$1.01,267.61%,,,,,-100.00%,-$2.00,-298.02%,-$2.00,-298.02%,ARAI,NASDAQ:ARAI,-2.000,,
NASDAQ:ARAY,11 Dec 2025,$1.27,4,$4.00,4,,$0.44,188.64%,,,,,-100.00%,-$2.00,-554.55%,-$2.00,-554.55%,ARAY,NASDAQ:ARAY,-2.000,,
NASDAQ:ARCC,30 Mar 2026,$19.78,3,$20.83,9,2.75,$18.97,4.25%,4.25%,$19.78,$21.88,$17.85,-5.90%,$20.94,10.41%,$21.05,10.94%,ARCC,NASDAQ:ARCC,-0.505,$21.88,-4.80%
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$8.56,20.41%,,,,$8.47,-1.05%,-$0.19,-102.19%,$27.36,219.57%,ARCO,NYSE:ARCO,-0.542,$9.97,
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$7.12,82.96%,,,,$6.53,-8.29%,$8.42,18.21%,$7.95,11.69%,ARHS,NASDAQ:ARHS,-0.460,$10.71,
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$6.11,6.46%,,,,$5.38,-11.95%,-$14.83,-342.64%,-$3.27,-153.49%,ARKO,NASDAQ:ARKO,-0.401,$8.50,
NASDAQ:ARLP,13 Feb 2026,$25.11,1,,,,$25.72,-2.37%,,,,$26.59,3.38%,$50.24,95.35%,$73.79,186.89%,ARLP,NASDAQ:ARLP,-0.076,$30.33,
NASDAQ:ARM,19 Jan 2026,$90.86,2,$170.59,1,,$159.34,-42.98%,,,,$148.79,-6.62%,$158.80,-0.34%,$161.81,1.55%,ARM,NASDAQ:ARM,-0.304,$167.78,1.67%
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,,$36.15,34.63%,,,,$35.96,-0.53%,-$191.07,-628.55%,-$187.80,-619.51%,AROW,NASDAQ:AROW,-0.083,$35.50,37.10%
NYSE:ARX,13 Nov 2025,$14.59,3,,,,$13.70,6.50%,,,,$12.82,-6.42%,$0.00,-100.00%,$0.00,-100.00%,ARX,NYSE:ARX,-0.304,$18.28,
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$27.61,-14.74%,,,,$27.68,0.25%,-$109.09,-495.10%,-$99.13,-459.02%,ASB,NYSE:ASB,-0.077,$30.10,
NYSE:ASGN,20 Feb 2026,$71.47,3,$56.80,5,,$39.05,45.45%,,,,$35.14,-10.01%,$82.86,112.20%,$111.12,184.56%,ASGN,NYSE:ASGN,-0.135,$51.50,10.29%
NYSE:ASH,14 May 2025,$83.18,3,,4,,$55.67,49.42%,,,,$58.10,4.37%,$122.70,120.41%,$183.31,229.28%,ASH,NYSE:ASH,0.162,$67.50,
NASDAQ:ASML,30 Aug 2025,$871.20,3,,10,,"$1,481.77",-41.21%,,,,"$1,535.92",3.65%,"$3,419.29",130.76%,"$3,472.52",134.35%,ASML,NASDAQ:ASML,0.237,"$1,502.42",
NASDAQ:ASPI,19 Nov 2025,$6.33,3,$13.00,3,,$5.38,17.73%,,,,,-100.00%,-$2.00,-137.17%,-$2.00,-137.17%,ASPI,NASDAQ:ASPI,-2.000,,
NYSE:ASR,10 Jul 2025,$344.93,4,,7,,$342.53,0.70%,,,,$350.98,2.47%,-$473.98,-238.38%,-$373.94,-209.17%,ASR,NYSE:ASR,-0.061,$366.81,
NASDAQ:ASTS,29 Jan 2026,$76.75,2,$91.68,6,,$86.91,-11.69%,,,,$100.74,15.91%,$89.20,2.64%,$89.70,3.21%,ASTS,NASDAQ:ASTS,0.301,$89.15,2.84%
NYSE:ASX,19 Jan 2026,$16.81,2,,,,$27.23,-38.27%,,,,$24.97,-8.30%,$16.22,-40.42%,$22.11,-18.82%,ASX,NYSE:ASX,-0.280,$23.31,
NASDAQ:ATEC,11 Dec 2025,$16.73,3,$23.17,2,,$11.42,46.50%,,,,$10.98,-3.85%,$7.07,-38.07%,$13.83,21.08%,ATEC,NASDAQ:ATEC,-0.148,$24.42,-5.12%
NYSE:ATEN,20 Jan 2026,$18.80,3,$23.25,7,,$25.51,-26.30%,,,,$23.90,-6.31%,$27.98,9.69%,$30.08,17.90%,ATEN,NYSE:ATEN,-0.152,$24.50,-5.10%
NYSE:ATGE,15 Oct 2025,$131.23,2,,,,#N/A,#N/A,,,,$0.00,#N/A,$97.04,#N/A,$122.71,#N/A,ATGE,NYSE:ATGE,-1.000,$161.00,
NYSE:ATI,30 Aug 2025,$63.00,2,,7,,$156.83,-59.83%,,,,$158.88,1.31%,$242.30,54.50%,$264.25,68.49%,ATI,NYSE:ATI,-0.306,$166.67,
NASDAQ:ATOM,10 Feb 2026,$5.03,3,,1,,$5.14,-2.06%,,,,$5.20,1.17%,$4.55,-11.52%,$4.63,-9.89%,ATOM,NASDAQ:ATOM,0.165,$7.00,
NYSE:ATS,31 Oct 2025,$26.18,3,,,,$30.83,-15.08%,,,,$30.85,0.06%,$38.19,23.88%,$50.27,63.06%,ATS,NYSE:ATS,-0.071,$35.00,
NYSE:AU,20 Aug 2025,$29.75,2,,,,$104.47,-71.52%,,,,$106.12,1.58%,$220.24,110.82%,$224.05,114.46%,AU,NYSE:AU,-0.784,$120.57,
NYSE:AUB,20 Jan 2026,$40.52,3,$42.50,6,,$38.03,6.55%,,,,$38.44,1.08%,-$128.46,-437.78%,-$123.71,-425.30%,AUB,NYSE:AUB,-0.045,$44.31,-4.08%
NASDAQ:AUDC,26 Mar 2026,$12.39,3,$12.50,5,3,$8.86,39.83%,39.83%,$12.39,$12.50,$8.86,0.00%,$9.44,6.59%,$11.12,25.54%,AUDC,NASDAQ:AUDC,-0.135,$12.50,0.00%
NASDAQ:AUR,5 Feb 2026,$5.15,3,,,,$5.30,-2.91%,,,,$4.05,-23.58%,$3.19,-39.77%,$3.23,-39.07%,AUR,NASDAQ:AUR,-0.047,$10.46,
NYSE:AVB,18 Sep 2025,$217.02,5,,7,,$171.29,26.70%,,,,$169.55,-1.02%,$174.36,1.79%,$240.81,40.59%,AVB,NYSE:AVB,-0.290,$194.35,
NASDAQ:AVGO,2 Apr 2026,$382.67,5,$471.74,9,4,$396.72,-3.54%,-3.54%,$382.67,$472.52,$383.93,-3.22%,$469.61,18.37%,$501.25,26.35%,AVGO,NASDAQ:AVGO,0.152,$472.52,-0.17%
NYSE:AVNS,11 Dec 2025,$18.52,3,,5,,$24.72,-25.08%,,,,$14.11,-42.92%,$32.02,29.53%,$43.64,76.53%,AVNS,NYSE:AVNS,-0.553,$14.00,
NASDAQ:AVNW,5 Feb 2026,$24.97,3,$34.25,7,,$22.65,10.23%,,,,$22.57,-0.35%,$61.98,173.64%,$68.02,200.31%,AVNW,NASDAQ:AVNW,0.269,$34.86,-1.75%
NASDAQ:AVT,30 Aug 2025,$60.84,5,,1,,$70.22,-13.36%,,,,$67.58,-3.76%,$54.07,-23.00%,$70.62,0.56%,AVT,NASDAQ:AVT,-0.026,$59.25,
NASDAQ:AVTX,23 Dec 2025,$33.36,4,$37.40,3,,$13.35,149.89%,,,,$13.27,-0.60%,$8.02,-39.89%,$8.05,-39.70%,AVTX,NASDAQ:AVTX,-0.422,$40.09,-6.71%
NYSE:AVY,30 Aug 2025,$186.52,3,,1,,$168.03,11.00%,,,,$170.09,1.23%,$231.34,37.68%,$323.95,92.79%,AVY,NYSE:AVY,-0.526,$210.00,
NYSE:AX,19 Nov 2025,$76.16,3,$103.25,5,,$94.77,-19.64%,,,,$92.63,-2.26%,-$231.64,-344.43%,-$205.50,-316.84%,AX,NYSE:AX,-0.266,$109.50,-5.71%
