Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score,🙈 AnalystTargetPrice
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$2.12,258.49%,,,,,-100.00%,-$2.00,-194.34%,-$2.00,-194.34%,AEMD,NASDAQ:AEMD,-2.000,
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$132.68,-21.08%,,,,$132.45,-0.17%,-$5.49,-104.13%,$59.31,-55.30%,AEP,NASDAQ:AEP,-0.006,$137.47
NYSE:AER,5 Mar 2026,$119.70,1,,,,$139.18,-14.00%,,,,$135.14,-2.90%,-$13.80,-109.91%,-$5.67,-104.07%,AER,NYSE:AER,-0.574,$161.67
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.30,-5.84%,,,,$14.56,1.82%,-$52.22,-465.15%,-$26.24,-283.50%,AES,NYSE:AES,0.073,$15.33
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.96,18.98%,,,,$15.62,4.41%,$136.99,815.68%,$139.94,835.40%,AFYA,NASDAQ:AFYA,0.274,$17.33
NYSE:AG,12 Aug 2025,$7.66,3,,,,$21.84,-64.95%,,,,$20.67,-5.36%,$43.62,99.72%,$51.21,134.48%,AG,NYSE:AG,-0.191,$26.50
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$46.01,-58.38%,,,,$42.95,-6.65%,$56.78,23.41%,$66.20,43.88%,AGI,NYSE:AGI,-0.631,$61.00
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$150.30,19.60%,,,,$145.83,-2.97%,"-$2,608.58",-1835.58%,"-$2,628.59",-1848.90%,AGM,NYSE:AGM,-0.554,$215.33
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$10.15,1.58%,,,,$9.89,-2.56%,-$75.54,-844.24%,-$75.82,-846.99%,AGNC,NASDAQ:AGNC,-0.225,$11.56
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.10,23.58%,,,,$80.18,-1.13%,$14.06,-82.67%,$14.06,-82.67%,AGO,NYSE:AGO,-0.459,$105.75
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$15.22,-38.24%,,,,$14.82,-2.63%,$27.97,83.79%,$53.61,252.23%,AGRO,NYSE:AGRO,-0.391,$12.77
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$12.03,13.63%,,,,$12.28,2.08%,$21.09,75.33%,$59.25,392.49%,AHCO,NASDAQ:AHCO,0.025,$12.88
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$75.42,12.38%,,,,$74.36,-1.41%,-$98.00,-229.93%,-$30.77,-140.80%,AIG,NYSE:AIG,-0.520,$87.50
NASDAQ:AIMD,29 Jan 2026,$2.10,3,,,,$1.44,46.11%,,,,,-100.00%,-$2.00,-238.89%,-$2.00,-238.89%,AIMD,NASDAQ:AIMD,-2.000,
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$52.26,27.82%,,,,$51.21,-2.01%,$107.93,106.53%,$150.27,187.55%,AIN,NYSE:AIN,-0.729,$56.25
NASDAQ:AIP,5 Feb 2026,$16.04,3,$20.50,7,,$18.20,-11.86%,,,,$18.98,4.29%,$19.81,8.87%,$21.11,16.00%,AIP,NASDAQ:AIP,0.625,$20.25
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.17,57.73%,,,,$2.56,-19.24%,$3.58,13.05%,$11.94,276.76%,AIRS,NASDAQ:AIRS,-0.185,$6.00
NYSE:AIV,4 Mar 2026,$4.19,3,,9,,$4.05,3.46%,,,,$4.04,-0.25%,-$4.33,-207.00%,-$2.47,-161.08%,AIV,NYSE:AIV,-0.092,$7.00
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$218.26,1.63%,,,,$214.07,-1.92%,$442.40,102.69%,$540.79,147.77%,AIZ,NYSE:AIZ,-0.573,$261.33
NASDAQ:AKAM,11 Feb 2026,$114.28,5,$103.73,9,,$118.00,-12.09%,,,,$113.51,-3.81%,$125.78,6.59%,$175.02,48.32%,AKAM,NASDAQ:AKAM,-0.087,$109.46
NYSE:AL,2 Jan 2026,$58.27,3,$66.50,5,,$64.95,-10.28%,,,,$65.21,0.40%,-$206.10,-417.32%,-$109.32,-268.32%,AL,NYSE:AL,-0.345,$65.00
NASDAQ:ALAB,27 Jan 2026,$140.56,1,$194.64,5,,$117.14,19.99%,,,,$120.24,2.65%,$138.20,17.98%,$138.97,18.64%,ALAB,NASDAQ:ALAB,0.321,$204.25
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$74.56,9.24%,,,,$74.52,-0.05%,$125.02,67.68%,$154.60,107.35%,ALC,NYSE:ALC,-0.353,$95.31
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,,#N/A,#N/A,,,,$15.63,#N/A,$21.21,#N/A,$26.92,#N/A,ALEX,NYSE:ALEX,1.000,$21.00
NASDAQ:ALGM,19 Jan 2026,$25.92,2,$39.14,8,,$32.60,-20.50%,,,,$34.80,6.75%,$41.51,27.34%,$46.39,42.30%,ALGM,NASDAQ:ALGM,0.425,$45.83
NYSE:ALIT,11 Feb 2026,$3.53,3,$3.67,5,,$0.55,542.64%,,,,$0.53,-3.64%,$6.71,1120.82%,$20.45,3617.30%,ALIT,NYSE:ALIT,-0.453,$2.38
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$207.03,-11.74%,,,,$203.99,-1.47%,$419.72,102.73%,$444.97,114.93%,ALL,NYSE:ALL,-0.484,$239.57
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$141.06,17.24%,,,,$140.44,-0.44%,$265.25,88.04%,$292.25,107.18%,ALLE,NYSE:ALLE,-0.220,$176.73
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$39.84,4.24%,,,,$38.96,-2.21%,-$466.59,-1271.15%,-$504.44,-1366.17%,ALLY,NYSE:ALLY,-0.195,$52.12
NASDAQ:ALNT,4 Feb 2026,$50.47,2,,,,$60.54,-16.63%,,,,$58.76,-2.94%,$96.53,59.45%,$110.86,83.12%,ALNT,NASDAQ:ALNT,-0.366,$69.10
NASDAQ:ALRM,11 Feb 2026,$60.94,3,$85.00,1,,$43.67,39.56%,,,,$42.52,-2.63%,$87.47,100.29%,$103.84,137.79%,ALRM,NASDAQ:ALRM,-0.302,$58.00
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$23.84,2.93%,,,,$24.41,2.39%,-$127.60,-635.25%,-$120.92,-607.20%,ALRS,NASDAQ:ALRS,0.290,$26.60
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$117.06,-16.16%,,,,$116.63,-0.37%,$222.38,89.97%,$249.63,113.25%,ALSN,NYSE:ALSN,-0.125,$130.50
NASDAQ:ALT,23 Dec 2025,$9.35,5,$13.00,2,,$3.34,179.94%,,,,$3.41,2.10%,$1.78,-46.79%,$1.79,-46.53%,ALT,NASDAQ:ALT,0.084,$18.00
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.14,367.54%,,,,,-100.00%,-$2.00,-275.44%,-$2.00,-275.44%,ALTS,NASDAQ:ALTS,-2.000,
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$3.65,137.32%,,,,$3.52,-3.56%,$2.19,-39.90%,$3.67,0.68%,ALVO,NASDAQ:ALVO,-0.166,$14.00
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$39.40,-22.21%,,,,$40.14,1.88%,-$151.53,-484.58%,-$139.69,-454.55%,AMAL,NASDAQ:AMAL,0.008,$42.00
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$4.09,25.65%,,,,$4.03,-1.47%,$11.19,173.55%,$19.13,367.77%,AMBP,NYSE:AMBP,-0.328,$4.79
NYSE:AMBQ,29 Jan 2026,$40.84,3,,,,$28.53,43.14%,,,,$25.93,-9.11%,$0.00,-100.00%,$0.00,-100.00%,AMBQ,NYSE:AMBQ,-0.174,$38.75
NYSE:AMCR,31 Mar 2026,$54.24,5,$53.88,6,3.75,$39.93,34.94%,34.94%,$52.33,$54.24,$39.77,-0.40%,$19.06,-52.27%,$47.62,19.25%,AMCR,NYSE:AMCR,-0.184,$52.33
NASDAQ:AMD,28 Jan 2026,$229.36,2,$286.66,9,,$217.50,5.45%,,,,$224.64,3.28%,$304.97,40.22%,$337.77,55.30%,AMD,NASDAQ:AMD,0.501,$289.61
NYSE:AME,19 Nov 2025,$189.82,2,$220.17,2,,$218.29,-13.04%,,,,$225.83,3.45%,$352.73,61.59%,$384.34,76.07%,AME,NYSE:AME,0.432,$249.89
NASDAQ:AMPG,9 Feb 2026,$2.53,3,$9.00,7,,$1.93,30.98%,,,,$1.99,3.11%,$0.57,-70.58%,$0.66,-65.59%,AMPG,NASDAQ:AMPG,0.022,$7.00
NASDAQ:AMPL,5 Feb 2026,$11.31,4,$15.17,4,,$6.84,65.35%,,,,$6.71,-1.90%,$10.07,47.25%,$10.96,60.24%,AMPL,NASDAQ:AMPL,-0.120,$12.70
NYSE:AMPY,20 Mar 2026,$8.49,3,$7.25,8,2.75,$5.98,21.24%,21.24%,$7.25,$9.12,$5.90,-1.34%,$22.14,270.26%,$112.77,1785.71%,AMPY,NYSE:AMPY,-0.456,$9.12
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,,$32.09,26.71%,,,,$33.59,4.67%,$33.88,5.57%,$35.89,11.83%,AMSC,NASDAQ:AMSC,0.203,$52.33
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$32.97,39.48%,,,,$32.55,-1.27%,$9.12,-72.34%,$9.17,-72.19%,AMSF,NASDAQ:AMSF,-0.080,$40.33
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,,$22.77,-15.06%,,,,$22.18,-2.59%,-$150.10,-759.20%,-$148.21,-750.90%,AMTB,NYSE:AMTB,-0.318,$24.50
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$3.16,0.82%,,,,$3.32,5.06%,$2.29,-27.63%,-$2.66,-184.07%,AMTX,NASDAQ:AMTX,0.376,$13.38
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$38.27,126.37%,,,,$37.82,-1.18%,$71.17,85.97%,$124.27,224.73%,AMWD,NASDAQ:AMWD,-0.306,$59.00
NYSE:AMX,15 May 2025,$18.21,3,,3,,$25.58,-28.81%,,,,$25.32,-1.02%,$463.00,1710.01%,"$1,401.85",5380.28%,AMX,NYSE:AMX,-0.215,$25.43
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$92.25,28.35%,,,,$96.83,4.96%,$423.12,358.67%,$485.72,426.53%,ANF,NYSE:ANF,0.319,$119.50
NYSE:AON,29 Aug 2025,$347.01,2,,,,$323.14,7.39%,,,,$318.05,-1.58%,$543.01,68.04%,$615.53,90.48%,AON,NYSE:AON,-0.577,$395.53
NYSE:AORT,11 Dec 2025,$47.98,3,$51.71,4,,$34.17,40.42%,,,,$32.64,-4.48%,$34.32,0.43%,$40.84,19.52%,AORT,NYSE:AORT,-0.607,$51.43
NYSE:AOS,14 Jan 2026,$71.54,4,$76.86,8,,$64.35,11.17%,,,,$66.53,3.39%,$155.12,141.05%,$168.87,162.42%,AOS,NYSE:AOS,0.044,$80.40
NASDAQ:AOSL,5 Feb 2026,$36.47,3,$24.33,6,,$22.71,7.13%,,,,$23.69,4.32%,$29.57,30.19%,$52.05,129.21%,AOSL,NASDAQ:AOSL,0.220,$22.00
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$42.04,-32.24%,,,,$41.09,-2.26%,$35.84,-14.75%,$104.47,148.51%,APA,NASDAQ:APA,-0.394,$36.54
NYSE:APAM,25 Feb 2026,$47.32,4,$45.00,6,,$36.57,23.05%,,,,$35.12,-3.96%,$113.06,209.16%,$115.47,215.75%,APAM,NYSE:APAM,-0.592,$42.00
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$293.55,0.93%,,,,$302.94,3.20%,$160.37,-45.37%,$181.21,-38.27%,APD,NYSE:APD,0.225,$306.62
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$57.66,-40.13%,,,,$59.48,3.16%,$92.68,60.74%,$104.55,81.33%,APEI,NASDAQ:APEI,0.376,$57.33
NYSE:APH,22 Jan 2026,$121.05,1,$163.27,10,,$128.00,-5.43%,,,,$123.46,-3.55%,$196.15,53.24%,$209.59,63.74%,APH,NYSE:APH,-0.359,$169.17
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$3.66,-16.80%,,,,$3.57,-2.46%,$3.26,-10.96%,$4.54,23.93%,API,NASDAQ:API,-0.177,$6.05
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$33.35,99.07%,,,,$32.95,-1.20%,$0.00,-100.00%,$0.00,-100.00%,APOG,NASDAQ:APOG,-0.103,$42.00
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$6.23,-1.39%,,,,$6.40,2.73%,-$4.38,-170.38%,-$1.78,-128.60%,AQN,NYSE:AQN,0.059,$6.75
NYSE:AR,20 Aug 2025,$31.31,3,,,,$40.45,-22.60%,,,,$39.96,-1.21%,$57.12,41.21%,$81.60,101.73%,AR,NYSE:AR,-0.623,$48.29
NASDAQ:ARAI,10 Feb 2026,$3.71,3,,,,$0.72,415.68%,,,,,-100.00%,-$2.00,-377.78%,-$2.00,-377.78%,ARAI,NASDAQ:ARAI,-2.000,
NASDAQ:ARAY,11 Dec 2025,$1.27,4,$4.00,4,,$0.42,202.38%,,,,,-100.00%,-$2.00,-576.19%,-$2.00,-576.19%,ARAY,NASDAQ:ARAY,-2.000,
NASDAQ:ARCC,30 Mar 2026,$19.78,3,$20.83,9,3,$18.09,9.32%,9.32%,$19.78,$21.88,$17.70,-2.16%,$20.85,15.28%,$20.96,15.85%,ARCC,NASDAQ:ARCC,-0.116,$21.88
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$8.35,23.44%,,,,$8.16,-2.28%,-$0.39,-104.68%,$27.05,223.94%,ARCO,NYSE:ARCO,-0.416,$9.91
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$6.38,104.18%,,,,$6.34,-0.63%,$8.02,25.73%,$7.56,18.48%,ARHS,NASDAQ:ARHS,-0.023,$10.88
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$5.65,15.13%,,,,$5.55,-1.77%,-$14.63,-358.86%,-$3.09,-154.72%,ARKO,NASDAQ:ARKO,-0.237,$8.50
NASDAQ:ARLP,13 Feb 2026,$25.11,1,,,,$28.17,-10.86%,,,,$28.03,-0.50%,$52.08,84.86%,$75.57,168.28%,ARLP,NASDAQ:ARLP,-0.051,$30.33
NASDAQ:ARM,19 Jan 2026,$90.86,2,$170.59,1,,$149.11,-39.06%,,,,$147.29,-1.22%,$158.95,6.60%,$161.96,8.62%,ARM,NASDAQ:ARM,-0.163,$165.01
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,,$34.13,42.60%,,,,$33.74,-1.14%,-$193.39,-666.64%,-$190.13,-657.08%,AROW,NASDAQ:AROW,-0.088,$35.50
NYSE:ARX,13 Nov 2025,$14.59,3,,,,$13.41,8.81%,,,,$12.79,-4.62%,$0.00,-100.00%,$0.00,-100.00%,ARX,NYSE:ARX,-0.357,$18.28
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$25.98,-9.40%,,,,$25.74,-0.92%,-$110.88,-526.77%,-$100.95,-488.57%,ASB,NYSE:ASB,-0.114,$29.80
NYSE:ASGN,20 Feb 2026,$71.47,3,$56.80,5,,$39.05,45.45%,,,,$37.78,-3.25%,$86.42,121.31%,$114.63,193.54%,ASGN,NYSE:ASGN,-0.199,$53.83
NYSE:ASH,14 May 2025,$83.18,3,,4,,$54.39,52.94%,,,,$57.40,5.53%,$120.33,121.23%,$180.79,232.40%,ASH,NYSE:ASH,0.309,$67.50
NASDAQ:ASML,30 Aug 2025,$871.20,3,,10,,"$1,317.23",-33.86%,,,,"$1,406.23",6.76%,"$3,249.98",146.73%,"$3,303.01",150.75%,ASML,NASDAQ:ASML,0.623,"$1,472.57"
NASDAQ:ASPI,19 Nov 2025,$6.33,3,$13.00,3,,$4.29,47.64%,,,,,-100.00%,-$2.00,-146.62%,-$2.00,-146.62%,ASPI,NASDAQ:ASPI,-2.000,
NYSE:ASR,10 Jul 2025,$344.93,4,,7,,$347.30,-0.68%,,,,$357.28,2.87%,-$475.46,-236.90%,-$375.70,-208.18%,ASR,NYSE:ASR,0.195,$366.81
NASDAQ:ASTS,29 Jan 2026,$76.75,2,$91.68,6,,$92.62,-17.13%,,,,$94.69,2.23%,$86.92,-6.15%,$87.42,-5.61%,ASTS,NASDAQ:ASTS,0.128,$88.53
NYSE:ASX,19 Jan 2026,$16.81,2,,,,$22.28,-24.55%,,,,$22.02,-1.17%,-$163.85,-835.40%,-$148.49,-766.48%,ASX,NYSE:ASX,-0.033,$23.31
NASDAQ:ATEC,11 Dec 2025,$16.73,3,$23.17,2,,$10.83,54.48%,,,,$11.56,6.74%,$7.00,-35.39%,$13.74,26.87%,ATEC,NASDAQ:ATEC,0.068,$24.42
NYSE:ATEN,20 Jan 2026,$18.80,3,$23.25,7,,$23.99,-21.63%,,,,$23.76,-0.96%,$27.96,16.53%,$30.04,25.24%,ATEN,NYSE:ATEN,-0.303,$24.50
NYSE:ATGE,15 Oct 2025,$131.23,2,,,,#N/A,#N/A,,,,$0.00,#N/A,$97.01,#N/A,$122.63,#N/A,ATGE,NYSE:ATGE,-1.000,$161.00
NYSE:ATI,30 Aug 2025,$63.00,2,,7,,$146.63,-57.03%,,,,$154.61,5.44%,$226.30,54.33%,$248.17,69.25%,ATI,NYSE:ATI,0.004,$161.44
NASDAQ:ATOM,10 Feb 2026,$5.03,3,,1,,$4.07,23.69%,,,,$4.26,4.67%,$3.53,-13.32%,$3.61,-11.25%,ATOM,NASDAQ:ATOM,0.525,$7.00
NYSE:ATS,31 Oct 2025,$26.18,3,,,,$28.46,-8.01%,,,,$29.67,4.25%,$35.90,26.15%,$47.96,68.51%,ATS,NYSE:ATS,0.161,$35.00
NYSE:AU,20 Aug 2025,$29.75,2,,,,$101.22,-70.61%,,,,$96.75,-4.42%,$211.75,109.20%,$215.55,112.95%,AU,NYSE:AU,-0.681,$121.86
NYSE:AUB,20 Jan 2026,$40.52,3,$42.50,6,,$36.09,12.27%,,,,$35.72,-1.03%,-$130.59,-461.85%,-$125.86,-448.74%,AUB,NYSE:AUB,-0.028,$44.56
NASDAQ:AUDC,26 Mar 2026,$12.39,3,$12.50,5,3,$8.71,42.24%,42.24%,$12.39,$12.50,$8.45,-2.99%,$9.29,6.68%,$10.81,24.05%,AUDC,NASDAQ:AUDC,-0.118,$12.50
NASDAQ:AUR,5 Feb 2026,$5.15,3,,,,$4.15,24.00%,,,,$4.35,4.82%,$3.19,-23.24%,$3.22,-22.34%,AUR,NASDAQ:AUR,0.208,$10.46
NYSE:AVB,18 Sep 2025,$217.02,5,,7,,$166.02,30.72%,,,,$163.26,-1.66%,$170.44,2.66%,$236.30,42.33%,AVB,NYSE:AVB,-0.559,$195.05
NASDAQ:AVGO,2 Apr 2026,$382.67,5,$471.74,9,4.75,$314.55,21.66%,21.66%,$382.67,$471.74,$328.90,4.56%,$412.18,31.04%,$443.69,41.06%,AVGO,NASDAQ:AVGO,0.764,$471.55
NYSE:AVNS,11 Dec 2025,$18.52,3,,5,,$13.95,32.76%,,,,$13.82,-0.93%,$31.73,127.43%,$43.31,210.49%,AVNS,NYSE:AVNS,-0.568,$14.00
NASDAQ:AVNW,5 Feb 2026,$24.97,3,$34.25,7,,$20.20,23.60%,,,,$21.22,5.05%,$60.01,197.08%,$66.04,226.92%,AVNW,NASDAQ:AVNW,0.194,$34.86
NASDAQ:AVT,30 Aug 2025,$60.84,5,,1,,$61.87,-1.66%,,,,$61.91,0.06%,$48.73,-21.23%,$65.25,5.46%,AVT,NASDAQ:AVT,-0.189,$59.25
NASDAQ:AVTX,23 Dec 2025,$33.36,4,$37.40,3,,$17.76,87.84%,,,,$18.13,2.08%,$12.13,-31.72%,$12.15,-31.58%,AVTX,NASDAQ:AVTX,0.061,$37.89
NYSE:AVY,30 Aug 2025,$186.52,3,,1,,$171.47,8.78%,,,,$170.40,-0.62%,$231.35,34.92%,$323.76,88.81%,AVY,NYSE:AVY,-0.334,$210.82
NYSE:AX,19 Nov 2025,$76.16,3,$103.25,5,,$85.36,-10.78%,,,,$84.13,-1.44%,-$239.17,-380.19%,-$213.14,-349.69%,AX,NYSE:AX,-0.319,$110.33
NYSE:B,24 Oct 2025,$29.72,2,,,,$41.64,-28.63%,,,,$39.72,-4.61%,$90.76,117.96%,$112.76,170.79%,B,NYSE:B,-0.480,$57.03
NYSE:BA,9 Apr 2025,$179.31,5,,9,,$208.22,-13.89%,,,,$212.62,2.11%,$110.55,-46.91%,$93.22,-55.23%,BA,NYSE:BA,0.112,$269.00
NYSE:BABA,20 Aug 2025,$133.65,4,,7,,$122.05,9.51%,,,,$121.50,-0.45%,$226.79,85.82%,$232.35,90.38%,BABA,NYSE:BABA,-0.121,$189.00
NYSE:BAC,14 Aug 2025,$45.19,3,,6,,$49.38,-8.49%,,,,$48.39,-2.00%,-$188.15,-481.03%,-$183.87,-472.36%,BAC,NYSE:BAC,-0.328,$61.06
